Model,Task,MSE,RMSE,MAE,R2
CNN_LSTM,singlestep,0.9044468402862548,0.951024100791486,0.7226665019989014,0.877994954586029
LSTM,singlestep,0.8542539477348328,0.924258593541241,0.6947548389434814,0.8847656846046448
LSTNet,singlestep,0.8987568020820618,0.9480278487903516,0.7225305438041687,0.8787624835968018
Linear,singlestep,0.8588330149650574,0.9267324397932002,0.7060273885726929,0.8841480016708374
TCN,singlestep,0.8744182586669922,0.9351033411698368,0.7025909423828125,0.8820456266403198
Transformer,singlestep,0.8913912773132324,0.9441352007595272,0.7077061533927917,0.8797560334205627
WaveNet,singlestep,0.9080464243888856,0.9529146994295372,0.7220074534416199,0.877509355545044
CNN_LSTM,multistep_16h,4.105912208557129,2.026305063053717,1.604907512664795,0.4484123587608337
LSTM,multistep_16h,3.7035446166992174,1.924459564838716,1.5245599746704102,0.5024663209915161
LSTNet,multistep_16h,4.4413886070251465,2.1074602266769227,1.6273986101150513,0.4033445119857788
Linear,multistep_16h,3.608980655670166,1.8997317325533527,1.5101348161697388,0.5151700973510742
TCN,multistep_16h,4.255098342895508,2.0627889719735046,1.638763427734375,0.428370714187622
Transformer,multistep_16h,4.059576511383057,2.0148390782846795,1.5991029739379885,0.4546371102333069
WaveNet,multistep_16h,3.802487373352051,1.949996762395274,1.5345535278320312,0.4891743659973144
